city,micro_market,zone_type,dominant_buyer,risk_category,comments
Mumbai,Bandra West,Mixed,Investor,High,Synthetic market profile
Mumbai,Juhu,Mixed,End-user,High,Synthetic market profile
Mumbai,Powai,Residential,Investor,Medium,Synthetic market profile
Mumbai,Lower Parel,Residential,Investor,High,Synthetic market profile
Mumbai,Worli,Residential,End-user,High,Synthetic market profile
Mumbai,Andheri East,Residential,Investor,High,Synthetic market profile
Mumbai,Andheri West,Residential,Investor,Low,Synthetic market profile
Mumbai,Goregaon West,Mixed,End-user,Medium,Synthetic market profile
Mumbai,Malad West,Residential,End-user,Medium,Synthetic market profile
Mumbai,Chembur,Mixed,Investor,Low,Synthetic market profile
Mumbai,Thane West,Residential,End-user,Medium,Synthetic market profile
Mumbai,Mulund,Residential,Investor,Low,Synthetic market profile
Mumbai,Kanjurmarg,Mixed,Investor,High,Synthetic market profile
Mumbai,Vikhroli,Mixed,End-user,High,Synthetic market profile
Mumbai,Bhandup,Mixed,Investor,High,Synthetic market profile
Mumbai,Kandivali East,Residential,End-user,High,Synthetic market profile
Mumbai,Borivali East,Residential,End-user,Low,Synthetic market profile
Mumbai,Mira Road,Residential,End-user,Medium,Synthetic market profile
Mumbai,Virar,Mixed,Investor,Low,Synthetic market profile
Mumbai,Vasai,Mixed,End-user,Medium,Synthetic market profile
Mumbai,Vashi,Mixed,Investor,Low,Synthetic market profile
Mumbai,Nerul,Residential,Investor,Low,Synthetic market profile
Mumbai,Belapur,Mixed,End-user,High,Synthetic market profile
Mumbai,Panvel,Residential,Investor,Medium,Synthetic market profile
Mumbai,Kharghar,Residential,End-user,Medium,Synthetic market profile
Mumbai,Ulwe,Mixed,Investor,High,Synthetic market profile
Mumbai,Dombivli,Residential,Investor,High,Synthetic market profile
Mumbai,Ambernath,Mixed,End-user,Low,Synthetic market profile
Mumbai,Badlapur,Residential,End-user,High,Synthetic market profile
